,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1882,,,1116.5 ],45.7 ],,,,,,,,,,,,,,,,,,,,,,,
4,1883,,,1008.0,46.6,,,,,,,,,,,,,,,,,,,,,,,
5,1884,,,1317.8,103.9,,,,,,,,,,,,,,,,,,,,,,,
6,1885,,,1096.0,38.3,,,,,,,,,,,,,,,,,,,,,,,
7,1886,,1013.8,1142.0,107.9,,,9.9,14.1,5.8,,,78,,,,,,,,,,,,,,,
8,1887,,1013.2,943.5,45.5,,,9.3,13.8,5.2,,,78,,,,,,,,,,,,,,,
9,1888,,1012.9,1533.0,68.7,,,8.9,13.3,4.9,,,79,,,,,,,,,,,,,,,
10,1889,,1013.7,1297.6,46.9,,,8.2,12.8,4.3,,,80,,,,,,,,,,,,,,,
11,1890,,1014.2,1450.6,71.6,,,10.4,15.0,6.4,,,78,,,,,,,,,,,,,,,
12,1891,,1013.6,1514.0,55.4,,,9.2,13.5,5.3,,,77,,,,,,,,,,,,,,,
13,1892,,1013.2,1235.0,86.0,,,9.1,13.5,5.1,,,77,,,,,,,,,,,,,,,
14,1893,,1013.6,1420.3,86.5,,,8.4,12.6,4.5,,,78,,,,,,,,,,,,,,,
15,1894,,1014.2,1345.6,76.8,,,10.1,14.2,6.3,,,78,,,,,,,,,,,,,,,
16,1895,,1013.4,1042.6,39.0,,,9.1,13.2,5.1,,,77,,,,,,,,,,,,,,,
17,1896,,1013.5,1593.0,78.1,,,9.2,13.6,5.3,,,77,,,,,,,,,,,,,,,
18,1897,,1014.4,1537.5,48.4,,,8.4,12.7,4.6,,,77,,,,,,,1503.2,,,,,,,,
19,1898,,1013.7,1222.8,106.7,,,9.2,13.6,5.5,,,76,,,,,,,1555.6,,,,130 ],,,,
20,1899,,1013.7,1446.8,56.9,,,9.7,14.0,5.8,,,76,,,,,,,1602.8,,,,,,,,
21,1900,,1014.2,1156.2,74.9,,,9.0,13.2,5.1,,,78,,,,,,,1635.8,,,,,,,,
22,1901,,1013.5,1192.6,67.0,,,9.4,13.9,5.6,,,77,,,,,,,1746.0,,,,,,,,
23,1902,,1013.6,1239.4,49.6,,,9.0,13.4,5.2,,,78,,,,,,,1746.6,,,,166 ],,,,
24,1903,,1014.1,1580.5,68.9,,,9.7,13.8,6.0,,,78,,,,,,,1644.9,,,,,,,,
25,1904,,1013.9,1545.8,112.1,,,9.4,13.9,5.5,,,78,,,,,,,1871.4,,,,100 ],,,,
26,1905,,1014.5,1434.6,72.3,,,9.0,13.3,5.4,,,78,,,,,,,1548.0,,,,,,,,
27,1906,,1013.2,1287.7,38.1,,,8.5,12.8,4.7,,,78,,,,,,,1449.0,,,,,,,,
28,1907,,1013.9,1418.8,50.2,,,9.0,13.3,5.0,,,77,,,,,,,1666.6,,,,,,,,
29,1908,,1014.1,1250.9,39.8,,,8.4,12.6,4.7,,,78,,,,,,,1661.8,,,,146 ],,,,
30,1909,,1014.0,1270.1,55.6,,,8.8,13.1,5.0,,,77,,,,,,,1540.8,,,,33 ],,,,
31,1910,,1013.6,1230.2,59.4,,,8.8,13.1,5.1,,,78,,,,,,,1678.7,,,,,,,,
32,1911,,1014.7,1705.3,82.4,,,9.6,14.1,5.6,,,78,,,,,,,1558.2,,,,,,,,
33,1912,,1013.9,1421.1,60.6,,,8.9,13.4,5.1,,,76,,,,,,,1544.2,,,,,,,,
34,1913,,1013.3,1465.2,100.9,,,8.4,12.9,4.5,,,77,,,,,,,1723.0,,,,,,,,
35,1914,,1013.6,1638.0,96.6,,,10.4,15.1,6.4,,,77,,,,,,,1766.8,,,,,,,,
36,1915,,1013.5,1223.8,53.4,,,9.6,14.3,5.8,,,78,,,,,,,1587.5,,,,,,,,
37,1916,,1014.4,1197.9,50.5,,,10.0,14.6,6.2,,,77,,,,,,,1752.2,,,,,,,,
38,1917,,1011.7,1551.8,93.0,,,9.7,14.4,5.6,,,78,,,,,,,1744.5,,,,,,,,
39,1918,,1013.9,1613.3,57.6,,,9.5,13.9,5.7,,,78,,,,,,,1461.2,,,,,,,,
40,1919,,1013.5,1351.0,63.7,,,9.6,14.2,5.5,,,77,,,,,,,1816.8,,,,3 ],,,,
41,1920,,1014.6,1650.3,82.2,,,10.2,14.9,6.4,,,79,,,,,,,1859.3,,,,,,,,
42,1921,,1013.9,1292.2,64.2,,,9.4,14.0,5.6,,,77,,,,,,,1729.0,,,,,,,,
43,1922,,1013.6,1929.8,81.8,,,9.8,14.2,5.9,,,78,,,,,,,1874.4,,,,152 ],,,,
44,1923,,1013.7,1707.9,67.3,,,9.6,14.2,5.6,,,78,,,,,,,1867.2,,,,151 ],,,,
45,1924,,1013.4,1212.7,42.9,,,9.6,14.5,5.4,,,76,,,,,,,2144.5,,,,,,,,
