,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1890,,1014.4,1930.8,128.8,,,15.8,20.9,11.0,36.4,-3.7,80,,,,,,,,,,,,,,,
4,1891,,1015.7,1810.7,208.7,,,14.8,20.1,9.5,35.3,-4.6,79,,,,,,,,,,,,,,,
5,1892,,1015.4,1316.3,55.9,,,14.6,19.6,9.3,34.5,-5.1,79,,,,,,,,,,,,,,,
6,1893,,1015.9,1316.5,87.1,,,14.5,19.5,9.1,35.6,-5.2,77,,,,,,,,,,,,,,,
7,1894,,1016.2,1025.1,50.0,,,15.5,20.9,10.9,35.4,-4.6,78,,,,,,,,,,,,,,,
8,1895,,1015.3,1195.2,75.2,,,14.8,19.7,10.5,34.0,-5.1,78,,,,,,,,,,,,,,,
9,1896,,1016.0,1550.8,108.1,32.5 ],,14.7,19.6,10.5,35.3,-3.5,77,,,,,,,1804.4,,,,,,,,
10,1897,,1016.3,1454.0,129.7,42.5,,14.8,19.5,10.5,36.2,-4.7,76,,,,,,,1738.2,,,,,,,,
11,1898,,1015.1,1540.7,104.7,47.6,,15.7,20.5,11.3,35.1,-1.7,77,,,,,,,1793.9,,,,,,,,
12,1899,,1015.5,1478.6,84.5,30.1,,15.0,19.8,10.5,35.3,-4.0,78,,,,,,,1892.8,,,,,,,,
13,1900,,1015.8,1802.7,124.6,42.1,,14.9,19.6,10.5,33.8,-3.0,76,,,,,,,1963.2,,,,,,,,
14,1901,,1015.2,1714.5,106.7,38.0,,14.5,19.3,10.2,34.9,-3.3,76,,,,,,,1903.1,,,,,,,,
15,1902,,1015.1,1738.8,68.6,59.0,,15.1,19.9,10.6,33.0,-4.1,78,,,,,,,1862.6,,,,,,,,
16,1903,,1015.8,1457.0,76.1,24.2,,15.1,19.8,10.8,33.6,-1.6,78,,,,,,,1725.8,,,,,,,,
17,1904,,1015.8,1517.9,185.6,30.1,,14.9,20.0,10.4,35.4,-4.6,76,,,,,,,2078.0,,,,,,,,
18,1905,,1015.4,2211.3,257.6,33.4,,15.2,20.1,11.1,34.7,-1.7,79,,,,,,,1759.3,,,,,,,,
19,1906,,1014.9,1608.9,80.6,31.7,,14.7,19.3,10.6,35.2,-2.3,78,,,,,,,1672.7,,,,,,,,
20,1907,,1015.1,1502.6,115.9,22.8,,14.5,19.6,9.7,32.7,-4.3,78,,,,,,,1883.7,,,,16 ],,,,
21,1908,,1015.7,1721.3,79.2,30.5,,14.8,19.9,10.0,33.8,-5.3,78,,,,,,,1901.1,,,,,,,,
22,1909,,1015.5,1799.0,109.5,38.1,,14.8,19.8,10.2,33.9,-3.7,77,,,,,,,1662.9,,,,,,,,
23,1910,,1015.2,1718.3,138.9,46.4,,14.5,19.4,9.9,34.0,-5.2,77,,,,,,,1626.4,,,,12 ],,,,
24,1911,,1016.2,1748.2,108.8,46.5,,15.0,20.1,10.3,35.6,-4.5,79,,,,,,,1743.0,,,,,,,,
25,1912,,1015.8,1592.4,102.2,29.0,,14.7,19.8,9.8,34.1,-3.0,79,,,,,,,1933.7,,,,,,,,
26,1913,,1015.5,1261.4,88.7,24.7,,14.3,19.7,9.5,34.4,-4.0,78,,,,,,,2052.9,,,,,,,,
27,1914,,1015.6,1820.3,101.7,34.1,,15.6,20.7,10.9,36.2,-2.7,79,,,,,,,2050.6,,,,,,,,
28,1915,,1015.1,1901.0,132.4,29.5,,15.3,20.2,10.7,35.7,-4.5,79,,,,,,,1951.3,,,,8 ],,,,
29,1916,,1015.4,1676.8,82.3,33.1,,15.6,20.8,11.0,34.1,-4.0,79,,,,,,,2096.1,,,,,,,,
30,1917,,1015.1,1676.7,87.3,40.8,,14.2,19.0,9.9,34.2,-5.4,77,,,,,,,1906.1,,,,22 ],,,,
31,1918,,1016.0,1838.0,101.6,32.4,,14.4,19.2,9.8,34.2,-6.0,78,,,,,,,1919.1,,,,30 ],,,,
32,1919,,1015.0,1314.8,83.4,26.5,,15.0,20.0,10.1,34.2,-8.2,79,,,,,,,2056.1,,,,,,,,
33,1920,,1015.3,1369.3,59.3,20.5,,15.0,19.9,10.4,35.3,-3.0,80,,,,,,,1889.1,,,,,,,,
34,1921,,1015.7,1607.6,89.5,29.8,,14.6,19.5,9.9,35.0,-3.5,79,,,,,,,1990.8,,,,,,,,
35,1922,,1015.9,1576.4,142.3,34.5,,15.2,20.8,10.2,36.0,-4.3,76,,,,,,,2255.3,,,,,,,,
36,1923,,1015.6,2145.2,128.0,36.0,,15.2,20.2,10.5,37.4,-4.4,79,,,,,,,1862.2,,,,2 ],,,,
37,1924,,1015.7,1287.4,108.5,21.5,,14.6,19.9,9.9,35.0,-3.3,78,,,,,,,2024.1,,,,,,,,
38,1925,,1015.3,1375.0,207.4,21.6,,14.7,20.0,9.9,34.0,-2.8,77,,,,,,,1985.3,,,,,,,,
