,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1883,,,2048.4,138.3,,,16.7,,,,,76,,,,,,,,,,,,,,,
4,1884,,,1921.0,100.3,,,15.9,,,,,79,,,,,,,,,,,,,,,
5,1885,,,2190.0,112.2,,,16.2,,,,,78,,,,,,,,,,,,,,,
6,1886,,1015.9,2214.9,123.9,,,16.4,21.1,12.3,,,78,,,,,,,,,,,,,,,
7,1887,,1014.8,2263.6,119.9,,,16.7,21.8,12.1,,,77,,,,,,,,,,,,,,,
8,1888,,1014.4,1772.0,167.1,,,17.0,22.0,11.7 ],,,78,,,,,,,,,,,,,,,
9,1889,,1014.7,2336.6,118.6,,,17.1,21.8,12.9,,,76,,,,,,,,,,,,,,,
10,1890,,1013.7,2167.4,83.9,,,17.9,23.0,13.6,,,76,,,,,,,,,,,,,,,
11,1891,,1015.2,1866.8,107.4,,,17.0,22.1,12.6,,,74,,,,,,,,,,,,,,,
12,1892,,1014.6,2244.1,91.0,,,16.8,21.7,12.5,,,74,,,,,,,,,,,,,,,
13,1893,,1015.6,1714.9 ],140.4 ],,,16.3,21.5,11.6,,,74,,,,,,,,,,,,,,,
14,1894,,1015.4,1397.8,85.5,,,17.6,23.0,12.7,,,73,,,,,,,,,,,,,,,
15,1895,,1014.6,1828.5,93.4,,,17.0,22.0,12.4,,,73,,,,,,,,,,,,,,,
16,1896,,1015.4,2563.8,155.9,,,17.1,22.0,12.9,,,74,,,,,,,,,,,,,,,
17,1897,,1015.6,1855.3,89.8,,,17.2,21.4,13.3,,,73,,,,,,,,,,,,,,,
18,1898,,1014.5,2227.6,206.6,,,17.6,21.4,14.6,,,74,,,,,,,,,,,,,,,
19,1899,,1015.2,1955.6,169.2,,,16.6,20.5,13.5,,,73,,,,,,,1923.7,,,,,,,,
20,1900,,1015.6,1923.5,94.0,,,16.5,20.5,13.4,,,75,,,,,,,2008.2,,,,,,,,
21,1901,,1015.0,2735.5,152.8,,,16.0,20.2,12.8,,,76,,,,,,,1956.5,,,,25 ],,,,
22,1902,,1015.3,2790.9,140.1,×,,16.8,21.1,13.4,,,76,,,,,,,1947.7,,,,,,,,
23,1903,,1015.8,2166.9,109.7,×,,16.5,20.7,13.2,,,79,,,,,,,1830.4,,,,,,,,
24,1904,,1015.7,1478.8,135.8,39.3 ],,16.5,21.4,12.8,,,75,,,,,,,2077.7,,,,,,,,
25,1905,,1015.3,3550.6,135.5,×,,16.9,21.0,13.7,,,78,,,,,,,1666.9,,,,,,,,
26,1906,,1014.6,2833.5,199.2,×,,16.5,20.3,13.3,,,74,,,,,,,1785.3,,,,4 ],,,,
27,1907,,1014.6,2204.1,200.9,33.3 ],,16.4,20.4,13.1,,,74,,,,,,,1939.5,,,,,,,,
28,1908,,1015.4,2281.0,153.4,×,,16.5,20.7,13.2,,,75,,,,,,,1852.3,,,,3 ],,,,
29,1909,,1015.0,2315.0,80.3,×,,16.6,20.5,13.3,,,75,,,,,,,1831.0,,,,,,,,
30,1910,,1014.7,2050.1,84.3,22.3 ],,16.4,20.2,13.3,,,75,,,,,,,1885.0,,,,17 ],,,,
31,1911,,1015.7,2491.4,135.2,56.1,,16.7,20.7,13.4,,,75,,,,,,,2131.5,,,,,,,,
32,1912,,1015.4,2842.5,187.4,77.6,,16.5,20.5,13.1,,,75,,,,,,,2056.4,,,,,,,,
33,1913,,1015.2,1603.7,103.1,25.4,,16.4,20.7,12.7,,,73,,,,,,,2039.1,,,,,,,,
34,1914,,1015.4,2389.8,140.1,49.3,,17.4,21.4,14.0,,,74,,,,,,,1964.1,,,,13 ],,,,
35,1915,,1014.5,2753.6,140.2,51.2,,17.0,21.4,12.9,,,77,,,,,,,1787.6,,,,23 ],,,,
36,1916,,1015.1,1816.2,106.2,37.2,,17.4,22.3,12.8,,,79,,,,,,,1984.2,,,,,,,,
37,1917,,1015.1,1913.0,305.7,57.5,,15.5,20.6,10.8,,,79,,,,,,,2139.2,,,,,,,,
38,1918,,1015.5,2233.5,126.7,38.1,,16.1,20.9,11.4,,,80,,,,,,,1871.2,,,,9 ],,,,
39,1919,,1014.6,2329.5,216.9,33.7,,16.5,21.4,11.7,,,80,,,,,,,1923.3,,,,,,,,
40,1920,,1014.2,2352.7,148.0,46.6,,17.1,21.9,12.5,,,79,,,,,,,1857.2,,,,,,,,
41,1921,,1014.8,2520.9,170.4,47.3 ],,16.3,21.5,11.3,,,80,,,,,,,2016.5,,,,,,,,
42,1922,,1015.1,1886.7,92.8,30.2,,16.8,22.1,12.0,,,77,,,,,,,2278.5,,,,,,,,
43,1923,,1015.0,2693.8,176.4,57.1,,16.8,21.9,12.0,,,79,,,,,,,2017.5,,,,10 ],,,,
