,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1882,,,1959.2 ],77.7 ],,,,,,,,,,,,,,,,,,,,,,,
4,1883,,,2391.1,72.9,,,,,,,,,,,,,,,,,,,,,,,
5,1884,,,2789.6,64.4,,,,,,,,,,,,,,,,,,,,,,,
6,1885,,,3301.1,90.5,,,,,,,,,,,,,,,,,,,,,,,
7,1886,,1015.5,2613.2,85.1,,,13.4,17.9,9.6,,,80,,,,,,,,,,,,,,,
8,1887,,1014.9,2191.5,67.3,,,13.2,17.7,9.1,,,78,,,,,,,,,,,,,,,
9,1888,,1014.8,2379.0,101.8,,,13.2,17.7,9.3,,,79,,,,,,,,,,,,,,,
10,1889,,1015.3,2279.0,65.5,,,12.6,17.1,8.7,,,81,,,,,,,,,,,,,,,
11,1890,,1014.6,2588.3,120.9,,,14.5,19.0,10.4,,,79,,,,,,,,,,,,,,,
12,1891,,1015.3,2400.6,76.0,,,13.3,18.1,9.0,,,77,,,,,,,1986.9,,,,130 ],,,,
13,1892,,1014.8,2559.9,67.9,,,13.0,17.5,9.1,,,79,,,,,,,1582.3,,,,100 ],,,,
14,1893,,1015.4,2765.7,76.5,,,12.6,17.3,8.8,,,80,,,,,,,1634.6,,,,115 ],,,,
15,1894,,1015.8,1952.0,90.4,,,13.9,18.8,10.0,,,77,,,,,,,1874.1,,,,,,,,
16,1895,,1014.5,2229.9,70.1,,,13.2,18.1,9.2,,,79,,,,,,,1619.9,,,,,,,,
17,1896,,1015.2,2951.9,99.0,,,13.1,17.9,9.2,,,78,,,,,,,1631.3,,,,60 ],,,,
18,1897,,1015.8,2734.0,80.8,,,12.6,17.2,8.6,,,78,,,,,,,1789.5,,,,80 ],,,,
19,1898,,1015.0,2227.1,146.8,,,13.6,18.3,9.3,,,79,,,,,,,1908.9,,,,67 ],,,,
20,1899,,1015.1,2632.5,120.7,,,13.4,18.3,9.2,,,78,,,,,,,1490.3 ],,,,,,,,
21,1900,,1015.5,2480.2,88.6,,,13.1,17.9,8.6,,,79,,,,,,,1548.0,,,,,,,,
22,1901,,1014.5,2558.0,93.1,,,13.1,17.8,8.8,35.3,-8.7,78,,,,,,,1606.3,,,,,,,,
23,1902,,1014.8,2532.6,110.7,,,13.1,18.0,9.1,38.5,-7.5,80,,,,,,,1669.2,,,,65 ],,,,
24,1903,,1015.3,2990.1,70.5,,,13.4,17.9,9.4,34.1,-3.7,81,,,,,,,1536.3,,,,,,,,
25,1904,,1015.0,2680.6,69.4,,,13.2,18.0,9.2,34.6,-9.7,79,,,,,,,1643.2,,,,,,,,
26,1905,,1015.4,2871.9,131.2,,,13.2,17.9,9.4,35.0,-5.3,79,,,,,,,1638.4,,,,5 ],,,,
27,1906,,1014.4,2630.0,80.8,,,12.7,17.8,8.9,34.2,-5.6,79,,,,,,,1681.8,,,,,,,,
28,1907,,1014.7,2228.2,100.3,,,13.0,17.7,9.1,33.1,-4.2,78,,,,,,,1787.8,,,,,,,,
29,1908,,1015.1,2546.1,99.8,,,12.7,17.3,8.7,32.7,-5.2,78,,,,,,,1778.6,,,,,,,,
30,1909,,1015.0,2744.6,156.3,,,12.9,17.5,8.7,34.7,-7.7,77,,,,,,,2001.8,,,,,,,,
31,1910,,1014.4,2584.1,106.4,,,12.7,17.0,8.9,35.0,-4.6,79,,,,,,,1669.5,,,,64 ],,,,
32,1911,,1016.0,2943.5,112.2,,,13.3,17.8,9.5,33.8,-6.5,79,,,,,,,1638.0,,,,,,,,
33,1912,,1015.2,2423.0,75.7,,,13.3,17.7,9.5,34.4,-4.4,76,,,,,,,1640.4,,,,,,,,
34,1913,,1014.7,2675.3,85.7,,,12.6,17.1,8.8,32.7,-5.5,77,,,,,,,1654.6,,,,5 ],,,,
35,1914,,1015.2,2520.2,130.5,,,14.2,18.7,10.3,34.7,-3.3,76,,,,,,,1829.8,,,,,,,,
36,1915,,1014.6,2116.3,51.0,,,13.9,18.5,10.1,35.6,-4.8,76,,,,,,,1741.8,,,,,,,,
37,1916,,1015.2,2715.5,71.7,,,14.1,18.5,10.3,34.3,-4.2,77,,,,,,,1714.2,,,,,,,,
38,1917,,1013.8,3476.2,121.9,,,12.7,16.8,9.1,34.2,-4.2,77,,,,,,,1591.7,,,,,,,,
39,1918,,1015.5,2278.9,100.5,,,12.9,17.1,9.2,34.9,-6.4,76,,,,,,,1699.6,,,,143 ],,,,
40,1919,,1014.5,2501.8,122.4,,,13.4,17.9,9.6,34.8,-6.4,77,,,,,,,1717.8,,,,,,,,
41,1920,,1015.0,2198.7,71.6,,,13.5,17.9,9.8,35.1,-4.7,77,,,,,,,1656.8,,,,,,,,
42,1921,,1014.7,2729.2,62.5,,,12.9,17.1,9.4,34.2,-4.7,77,,,,,,,1604.5,,,,,,,,
