,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1886,,1015.4,2708.7,117.4,,,15.6,19.9,11.7,33.7,-4.4,77,,,,,,,,,,,,,,,
4,1887,,1014.8,2493.0,211.8,,,15.8,20.1,11.5,32.8,-3.4,75,,,,,,,,,,,,,,,
5,1888,,1014.4,2732.3,160.5,,,15.8,20.6,11.4,33.4,-3.6,74,,,,,,,,,,,,,,,
6,1889,,1014.9,3516.1,159.6,,,15.4,20.0,11.1,34.8,-5.1,76,,,,,,,,,,,,,,,
7,1890,,1013.9,4156.9,293.1,,,16.7,21.6,12.4,33.7,-3.7,77,,,,,,,,,,,,,,,
8,1891,,1015.3,2667.1,171.9,,,15.7,20.6,11.1,32.4,-5.9,75,,,,,,,,,,,,,,,
9,1892,,1014.6,2685.5,186.8,,,15.4,20.3,11.1,35.9,-6.5,74,,,,,,,2481.6,,,,,,,,
10,1893,,1015.1,2496.1,180.4,,,15.1,20.3,10.6,35.9,-6.1,73,,,,,,,2654.5,,,,,,,,
11,1894,,1015.2,1605.4,129.0,,,16.4,21.6,11.9,35.9,-4.7,74,,,,,,,2567.6,,,,,,,,
12,1895,,1014.3,2592.5,127.7,,,15.6,20.9,11.0,34.1,-7.0,76,,,,,,,2375.5,,,,,,,,
13,1896,,1015.0,3164.0,171.8,,,15.6,21.1,10.9,34.3,-6.0,77,,,,,,,2140.3,,,,,,,,
14,1897,,1015.2,2672.7,239.9,,,15.8,21.3,10.9,34.7,-6.1,73,,,,,,,2272.2,,,,,,,,
15,1898,,1014.4,2606.6,199.8,,,16.4,21.3,11.7,35.4,-3.5,74,,,,,,,2356.1,,,,,,,,
16,1899,,1015.0,3393.5,254.9,,,15.6,20.6,11.0,31.9,-4.4,76,,,,,,,1279.9 ],,,,,,,,
17,1900,,1015.2,3056.5,241.7,,,15.7,21.2,11.4,35.1,-5.4,75,,,,,,,2160.3,,,,,,,,
18,1901,,1014.5,2602.9,160.2,,,15.2,20.8,10.9,34.7,-5.0,76,,,,,,,2194.9,,,,,,,,
19,1902,,1014.6,3353.8,170.4,,,15.6,21.2,11.4,33.2,-4.5,78,,,,,,,2189.9,,,,,,,,
20,1903,,1015.2,3131.2,183.9,,,15.6,21.0,11.6,35.4,-3.7,77,,,,,,,2193.1,,,,,,,,
21,1904,,1015.0,1799.0,139.4,,,15.6,21.3,11.2,36.2,-5.8,75,,,,,,,2304.9,,,,,,,,
22,1905,,1015.1,3244.8,114.8,,,16.0,21.4,12.0,33.9,-4.0,77,,,,,,,1866.1,,,,,,,,
23,1906,,1014.1,2429.2,200.3,,,15.4,21.0,11.2,35.9,-5.6,75,,,,,,,2067.0,,,,,,,,
24,1907,,1014.2,2516.5,178.5,,,15.4,21.2,11.1,34.7,-5.1,74,,,,,,,2090.7,,,,,,,,
25,1908,,1015.0,2841.5,168.5,,,15.5,21.3,11.1,32.7,-4.0,74,,,,,,,2122.3,,,,,,,,
26,1909,,1014.7,2409.5,126.5,,,15.4,21.0,11.2,34.8,-5.0,75,,,,,,,2007.6,,,,,,,,
27,1910,,1014.2,2300.9,119.9,,,15.4,21.0,11.2,34.9,-5.0,75,,,,,,,1898.5,,,,,,,,
28,1911,,1015.5,3231.9,231.7,,,15.8,21.4,11.6,34.3,-3.5,77,,,,,,,2015.4,,,,,,,,
29,1912,,1014.8,2495.2,246.0,,,15.7,21.6,11.3,36.4,-3.6,76,,,,,,,2156.9,,,,,,,,
30,1913,,1014.5,2335.3,156.8,,,15.3,21.2,10.7,36.4,-5.0,75,,,,,,,2154.1,,,,,,,,
31,1914,,1015.2,2629.7,239.1,,,16.1,21.4,11.8,37.1,-5.5,76,,,,,,,2093.2,,,,,,,,
32,1915,,1014.4,2807.3,155.8,,,16.1,21.5,11.9,36.0,-5.7,76,,,,,,,1904.0,,,,5 ],,,,
33,1916,,1015.0,3376.4,231.3,,,16.4,21.6,12.4,33.2,-3.4,76,,,,,,,2053.3,,,,,,,,
34,1917,,1014.4,2201.3,170.7,,,14.6,20.2,10.3,33.0,-6.8,75,,,,,,,2183.4,,,,3 ],,,,
35,1918,,1015.8,2909.9,195.4,,,15.1,20.4,10.9,33.9,-6.8,77,,,,,,,1949.5,,,,,,,,
36,1919,,1014.7,2303.2,184.4,,,15.6,21.2,11.4,33.0,-4.9,77,,,,,,,2090.1,,,,,,,,
37,1920,,1014.4,3610.2,364.3,,,15.9,21.1,11.9,34.8,-5.2,78,,,,,,,2059.0,,,,8 ],,,,
38,1921,,1014.5,2435.4,101.0,,,15.3,20.7,11.1,34.8,-3.6,76,,,,,,,2194.0,,,,,,,,
39,1922,,1015.3,2747.4,260.0,,,15.7,21.3,11.3,35.6,-4.6,75,,,,,,,2398.9,,,,,,,,
