,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1966,,,950.3 ],105.7 ],,,22.7 ],24.5 ],18.4 ],31.1 ],10.1 ],,,,,,,,,,,,,,,,
4,1967,,,1786.4,112.0,70.2,27.4,21.4,24.7,18.3,32.7,3.4,,,,,,,,,,,,,,,,
5,1968,,,1575.0,90.0,42.5,16.0,20.8,24.4,17.5,32.3,4.2,,,,,,,,,,,,,,,,
6,1969,,,3619.0,458.0,108.5,23.0,21.8,25.1,18.6,32.9,5.9,,,,,,,,,,,,,,,,
7,1970,,,2602.5,108.0,57.0,19.5,21.4,24.8,18.2,33.5,4.6,,,2.3,,,,,,,,,,,,,
8,1971,,,1772.5,269.5,79.0,25.5,21.5,25.3,18.1,34.4,4.5,,,2.3,,,,,,,,,,,,,
9,1972,,,2595.0,231.0,96.5,21.0,21.5,25.3,18.1,32.5,5.2,,,3.0,23.0,南南西,35.6,南南西,,,,,,,,,
10,1973,1012.2 ],1013.1 ],2290.0,180.5,50.0,23.0,21.8,25.3,18.5,32.4,6.9,81 ],36 ],3.0,17.3,北西,25.9,北北西,1539.0 ],,×,×,×,,,,
11,1974,1012.3,1013.2,2584.0,161.0,51.5,14.5,21.8,25.0,18.8,32.9,6.0,82,36,3.0,22.7,南南東,36.0,南南東,1845.7,,--,--,--,,,,
12,1975,1012.7,1013.6,2781.5,142.0,40.5,16.0,21.5,24.9,18.4,32.5,3.7,81,35,2.6,12.1,北北西,23.5,北北西,1807.8,,--,--,--,,,,
13,1976,1013.0,1014.0,2171.0,206.5,63.0,30.0,21.1,24.7,17.8,33.3,4.8,77,37,2.5,24.4,北西,43.9,北西,2115.7,,--,--,--,,,,
14,1977,1013.5,1014.4,1604.0,94.0,38.0,15.5,21.7,25.4,18.3,33.2,5.1,76,32,2.3,15.8,北北西,28.1,北北西,2180.0,,0,0,--,,,0 ],14 ]
15,1978,1012.9,1013.8,3490.5,171.5,57.5,20.0,21.2,24.7,18.1,32.2,3.6,79,37,2.4,21.5,南,36.4,南,1824.9,,0,0,--,,0,0,42
16,1979,1013.0,1013.9,2257.5,106.5,53.5,19.5,21.6,25.2,18.4,33.4,5.1,80,40,2.8,22.0,北西,35.5,南東,1981.0,,--,--,--,,0,0,24
17,1980,1013.8,1014.7,2061.0,125.5,43.0,18.5,21.7,25.2,18.4,34.0,5.1,79,36,2.7,19.3,北西,33.8,南,2115.1,,--,--,--,,0,0,32
18,1981,1013.6,1014.5,1471.0,128.5,37.5,13.5,21.4,25.1,17.9,33.8,5.3,78,38,2.7,19.7,南南東,37.2,北,2100.7,,--,--,--,7.2 ],0,0,13
19,1982,1013.3,1014.2,2120.5,211.5,44.0,21.0,21.7,25.3,18.4,33.0,4.4,77,38,2.6,17.5,北北西,30.4,北北西,2046.2,,--,--,--,7.3,0,0,9
20,1983,1013.8,1014.7,2275.0,161.0,62.5,23.0,22.2,25.7,19.1,33.7,7.3,77,35,2.5,16.3,南東,32.0,東南東,1902.4,,--,--,--,7.6,0,0,21
21,1984,1012.4,1013.3,2105.0,234.5,46.5,16.0,21.7,25.2,18.7,33.1,4.4,78,33,2.5,18.4,南,33.7,南南東,1918.7,,--,--,--,7.5,0,1,16
22,1985,1012.9,1013.8,2459.0,187.5,90.5,23.5,21.8,25.4,18.8,33.0,5.4,77,34,2.5,10.9,東,26.8,東北東,1998.9,,--,--,--,7.2,0,0,14
23,1986,1013.5,1014.5,1571.0,187.0,44.0,16.5,21.4,25.2,18.0,34.0,4.8,78,28,2.4,18.6,南南東,36.1,南東,1876.7,,--,--,--,7.0,0,0,9
24,1987,1013.4,1014.9,1970.0,114.0,54.0,18.5,22.4,25.7,19.5,33.8,5.5,80,39,3.0,24.6,南南東,43.9,南,1969.3,,--,--,--,7.2,0,0,23
25,1988,1012.0,1014.0,2041.0,130.5,48.5,17.5,22.5,25.2,19.8,33.4,7.7,77,32,3.7,20.7,北,37.6,北,1845.0,,--,--,--,7.6,0,0,19
26,1989,1012.1,1014.2,1763.0,119.5,45.5,16.0,22.2,25.2,19.5,33.2,7.4,78,29,3.3,14.0,北西,27.8,北西,1990.5,,--,--,--,7.5,0,0,19
27,1990,1012.4,1014.4,2117.0,163.0,59.0,20.5,22.5,25.5,19.9,35.1,8.8,76,37,3.9,23.1,南南東,43.3,南南東,1752.4,,--,--,--,7.4,0,0,19
28,1991,1012.1,1014.1,1626.5,143.0,43.5,16.0,22.9,25.7,20.4,34.0,7.9,75,34,4.0,29.7,南,50.5,南南東,1855.8,,--,--,--,7.3,0,0,20
29,1992,1012.2,1014.3,1841.5,111.5,33.0,17.5,22.3,25.3,19.5,33.6,7.2,76,32,3.7,18.3,北北西,34.6,東,1733.7,,--,--,--,7.2,0,0,17
