,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1890,,,993.1 ],132.2 ],×,,,,,,,77 ],,,,,,,,,,,,,,,
4,1891,,1014.9,1519.9,142.9,43.0,,14.6,20.0,9.9,,,74,,,,,,,2679.1,,,,,,,,
5,1892,,1014.4,1653.3,76.7,21.3,,14.2,19.0,9.9,,,75,,,,,,,2318.2,,,,9 ],,,,
6,1893,,1014.6,1292.4,115.2,32.2,,14.2,19.5,9.5,,,74,,,,,,,2660.6,,,,39 ],,,,
7,1894,,1014.8,1446.8,76.4,53.0,,15.3,20.8,10.6,,,76,,,,,,,2558.5,,,,,,,,
8,1895,,1014.0,1736.3,99.6,28.0,,14.3,19.7,9.7,,,76,,,,,,,2451.9,,,,,,,,
9,1896,,1014.8,2323.6,240.1,38.9,,14.3,19.3,9.9,,,76,,,,,,,2251.9,,,,,,,,
10,1897,,1015.2,1908.8,162.6,49.6,,14.4,19.5,9.8,,,75,,,,,,,2339.8,,,,,,,,
11,1898,,1014.5,1703.1,144.9,57.0,,15.1,20.4,10.4,,,75,,,,,,,2445.9,,,,,,,,
12,1899,,1015.0,1871.6,166.7,34.4,,14.6,19.8,10.1,,,77,,,,,,,2291.0,,,,,,,,
13,1900,,1015.3,1559.5,115.3,47.1,,14.5,19.8,9.9,,,75,,,,,,,2298.3,,,,,,,,
14,1901,,1014.4,1439.9,82.1,28.3,,14.5,20.0,9.9,,,75,,,,,,,2310.4,,,,,,,,
15,1902,,1014.7,1881.0,85.1,40.9,,14.5,19.6,10.1,,,76,,,,,,,2104.2,,,,,,,,
16,1903,,1015.2,2128.1,104.3,25.4,,14.7,19.6,10.6,,,77,,,,,,,2046.6,,,,,,,,
17,1904,,1014.9,2088.8,158.0,40.9,,14.6,19.6,10.3,,,77,,,,,,,2160.9,,,,,,,,
18,1905,,1015.3,2115.7,123.5,32.4,,14.7,19.6,10.5,,,78,,,,,,,1970.2,,,,20 ],,,,
19,1906,,1014.2,1554.0,135.4,37.0,,14.2,19.1,9.9,,,75,,,,,,,2180.4,,,,14 ],,,,
20,1907,,1014.4,1921.7,148.5,50.0,,14.3,19.4,9.8,,,74,,,,,,,2164.6,,,,,,,,
21,1908,,1015.0,1745.8,122.3,44.0,,14.0,19.1,9.6,,,75,,,,,,,2151.6,,,,,,,,
22,1909,,1014.9,1676.8,92.2,74.1,,14.3,19.5,9.8,,,75,,,,,,,2265.4,,,,,,,,
23,1910,,1014.1,1761.5,66.4,34.5,,14.3,19.5,10.0,,,75,,,,,,,1985.2,,,,,,,,
24,1911,,1015.7,1683.3,154.5,48.5,,14.9,20.2,10.4,,,76,,,,,,,2140.8,,,,,,,,
25,1912,,1014.8,1357.5,59.2,28.9,,14.6,19.9,9.9,,,74,,,,,,,2161.5,,,,,,,,
26,1913,,1014.4,1297.3,78.2,17.6,,14.1,19.6,9.3,,,72,,,,,,,2257.1,,,,,,,,
27,1914,,1015.1,1337.2,55.8,17.0,,15.3,20.9,10.5,,,75,,,,,,,2372.6,,,,0 ],,,,
28,1915,,1014.6,1791.5,114.8,30.0,,15.1,20.5,10.6,,,75,,,,,,,2280.3,,,,16 ],,,,
29,1916,,1015.0,1825.3,84.3,46.5,,15.4,20.4,11.0,,,76,,,,,,,2076.0,,,,,,,,
30,1917,,1013.9,1714.5,175.0,24.5,,14.0,19.2,9.5,,,75,,,,,,,2346.3,,,,17 ],,,,
31,1918,,1015.5,1791.5,129.6,26.4,,14.2,19.3,9.7,,,75,,,,,,,2231.7,,,,,,,,
32,1919,,1014.5,1729.3,147.9,92.0,,14.8,20.0,10.3,,,75,,,,,,,2244.1,,,,,,,,
33,1920,,1014.8,1778.9,78.1,33.1,,14.8,20.1,10.5,,,75,,,,,,,2324.5,,,,,,,,
34,1921,,1014.7,2024.7,80.5,23.7,,14.0,19.2,9.7,,,77,,,,,,,2062.7,,,,16 ],,,,
35,1922,,1015.1,1441.3,114.7,30.9,,15.0,20.5,10.3,,,75,,,,,,,2424.4,,,,25 ],,,,
36,1923,,1014.9,1809.9,101.9,24.9,,14.5,19.6,9.9,,,77,,,,,,,2066.8,,,,24 ],,,,
37,1924,,1015.1,1261.4,145.4,54.3,,13.9,19.4,9.3,,,75,,,,,,,2466.8,,,,,,,,
38,1925,,1015.0,1813.5,176.6,57.8,,13.7,19.0,9.2,,,76,,,,,,,2205.5,,,,5 ],,,,
39,1926,,1015.2,1102.1,63.7,31.8,,13.5,19.1,8.7,,,75,,,,,,,2323.1,,,,5 ],,,,
40,1927,,1014.9,1176.9,61.4,36.3,,13.9,19.4,9.3,,,75,,,,,,,2257.5,,,,,,,,
41,1928,,1015.2,1800.1,75.6,21.7,,14.3,19.5,9.9,,,77,,,,,,,2072.7,,,,,,,,
