,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1883,,1015.2,1068.1,92.7,,,14.3,19.4,10.2,35.6,-5.4,76,,,,,,,,,,,,,,,
4,1884,,1015.4,1441.0,131.5,,,13.5,18.6,9.3,34.0,-6.1,77,,,,,,,,,,,,,,,
5,1885,,1015.0,1602.6,112.5,,,14.4,19.1,10.6,34.8,-4.9,76,,,,,,,,,,,,,,,
6,1886,,1015.5,1213.2,79.2,,,14.9,19.5,11.0,35.8,-4.3,75,,,,,,,,,,,,,,,
7,1887,,1014.9,1185.3,133.0,,,14.9,20.0,10.7,35.6,-2.6,74,,,,,,,,,,,,,,,
8,1888,,1014.6,1210.4,60.8,,,15.1,20.0,10.5,34.8,-5.0,77,,,,,,,,,,,,,,,
9,1889,,1015.2,1622.1,126.0,20.1 ],,14.5,19.3,9.6,35.4,-5.3,76,,,,,,,,,,,,,,,
10,1890,,1014.3,1638.3,95.4,×,,16.2,21.4,10.8,35.4,-3.4,75,,,,,,,1766.2,,,,,,,,
11,1891,,1015.3,941.8,57.3,×,,15.0,20.5,10.0,34.8,-7.1,74,,,,,,,2007.7,,,,,,,,
12,1892,,1014.8,1469.4,62.0,×,,14.7,19.5,10.4,35.4,-4.3,74,,,,,,,1757.8,,,,,,,,
13,1893,,1015.3,1153.1,49.5,×,,14.5,19.3,10.1,38.6,-4.6,73,,,,,,,2007.6,,,,,,,,
14,1894,,1015.7,940.2,60.1,×,,15.6,20.6,11.0,36.4,-4.0,73,,,,,,,2165.0,,,,,,,,
15,1895,,1014.8,1378.8,96.5,22.8 ],,14.9,19.9,10.3,35.4,-6.5,73,,,,,,,2066.8,,,,,,,,
16,1896,,1015.7,1765.9,174.7,61.8 ],,14.8,19.5,10.6,35.1,-3.9,74,,,,,,,1903.2,,,,,,,,
17,1897,,1016.0,1599.2,95.3,×,,14.7,19.4,10.3,36.5,-4.7,73,,,,,,,2030.8,,,,,,,,
18,1898,,1015.1,1120.9,68.1,×,,15.5,20.5,10.8,36.5,-4.1,74,,,,,,,2025.8,,,,,,,,
19,1899,,1015.4,1625.5,100.0,9.6 ],,15.0,19.9,10.5,34.3,-3.6,75,,,,,,,2218.6,,,,,,,,
20,1900,,1015.8,1238.7,105.3,×,,14.9,19.7,10.3,35.8,-5.0,73,,,,,,,2460.1,,,,,,,,
21,1901,,1015.0,1214.7,93.3,40.4 ],,14.9,19.8,10.4,34.9,-4.7,72,,,,,,,2397.2,,,,,,,,
22,1902,,1015.2,1536.5,132.1,27.2 ],,14.9,19.7,10.7,35.2,-4.3,75,,,,,,,2387.3,,,,,,,,
23,1903,,1015.8,1879.0,130.4,×,,15.1,19.8,11.2,36.6,-3.3,74,,,,,,,2281.6,,,,,,,,
24,1904,,1015.4,1334.7,69.5,20.6,,14.9,19.7,10.8,36.3,-5.2,74,,,,,,,2254.0,,,,,,,,
25,1905,,1015.5,1706.5,115.2,34.9,,15.1,20.0,11.1,34.3,-3.5,75,,,,,,,1992.9,,,,,,,,
26,1906,,1014.6,1313.3,58.4,30.5,,14.5,19.4,10.4,35.8,-3.4,73,,,,,,,2095.4,,,,7 ],,,,
27,1907,,1014.8,1508.1,68.8,31.0,,14.7,19.7,10.5,35.3,-3.3,73,,,,,,,2231.5,,,,18 ],,,,
28,1908,,1015.4,1166.2,77.0,22.4,,14.6,19.6,10.5,36.2,-3.1,74,,,,,,,2119.5,,,,,,,,
29,1909,,1015.2,1359.7,59.4,20.5,,14.7,19.8,10.4,37.6,-3.5,74,,,,,,,2021.7,,,,5 ],,,,
30,1910,,1014.5,1322.0,60.7,17.5,,14.7,19.3,10.8,34.9,-3.8,74,,,,,,,2063.0,,,,,,,,
31,1911,,1016.0,1427.9,82.0,29.6,,15.2,19.3,11.4,34.5,-3.5,75,,,,,,,2221.6,,,,,,,,
32,1912,,1015.1,1322.9,99.2,23.4,,15.1,19.4,11.1,34.3,-2.5,74,,,,,,,2309.2,,,,,,,,
33,1913,,1014.7,1144.3,63.0,21.4,,14.6,19.1,10.5,35.1,-4.6,73,,,,,,,2363.0,,,,1 ],,,,
34,1914,,1015.3,1289.8,68.0,22.0,,15.9,20.4,11.9,35.2,-2.5,74,,,,,,,2366.5,,,,3 ],,,,
35,1915,,1014.7,1554.2,78.9,22.5,,15.7,20.2,11.7,36.0,-4.7,74,,,,,,,2196.4,,,,,,,,
36,1916,,1015.1,1521.0,78.7,41.2,,16.1,20.5,12.2,34.6,-2.2,74,,,,,,,2076.0,,,,,,,,
37,1917,,1014.2,1319.0,116.1,25.0,,14.7,19.3,10.7,35.4,-3.1,73,,,,,,,2341.1,,,,6 ],,,,
38,1918,,1015.7,1446.3,69.9,25.5,,14.8,19.3,11.0,34.4,-4.5,74,,,,,,,2239.7,,,,2 ],,,,
