,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1926,,,177.1 ],49.6 ],,,6.8 ],11.9 ],2.5 ],24.2 ],-7.6 ],,,,,,,,,,,,,,,,
4,1927,,1014.1,1074.7,99.8,,,10.9,15.7,6.8,32.8,-11.3,77,,,,,,,2053.8,,,,21 ],,,,
5,1928,,1015.1,1170.6,92.1,,,11.0,15.7,7.2,32.5,-10.8,79,,,,,,,1767.0,,,,,,,,
6,1929,,1014.4,1142.6,85.5,,,11.1,16.2,7.0,36.8,-9.4,77,,,,,,,1869.5,,,,,,,,
7,1930,,1015.4,1170.4,85.1,,,11.6,16.5,7.3,32.8,-9.5,77,,,,,,,1797.1,,,,25 ],,,,
8,1931,,1014.9,1024.6,56.0,,,10.5,15.5,6.3,33.1,-11.5,77,,,,,,,1879.3,,,,10 ],6.9,55 ],23,7
9,1932,,1014.3,1434.2,78.8,,,11.4,16.3,7.4,34.5,-8.3,77,,,,,,,1770.6,,,,37 ],6.9,59,24,6
10,1933,,1014.5,884.1,45.9,,,11.1,16.3,6.9,33.9,-9.3,76,,,,,,,1976.6,,,,,6.6,57,18,15
11,1934,,1014.0,1372.7,86.7,,,10.4,15.4,6.2,32.8,-9.9,77,,,,,,,1781.8,,,,,6.6,74,25,6
12,1935,,1014.0,1209.1,91.9,,,10.8,15.7,6.6,34.7,-8.5,76,,,,,,,1816.3,,,,34 ],6.8,41,27,10
13,1936,,1013.7,1038.8,57.9,,,10.8,15.5,7.0,35.0,-11.5,78,,,,,,,1860.2,,,,41 ],7.2,87,30,7
14,1937,,1014.4,1227.6,134.6,41.4 ],9.0 ],11.2,16.0,7.1,35.3,-8.6,77,,,,,,,1881.2,,,,,6.8,69,23,16
15,1938,,1013.6,1181.0,73.3,13.8 ],8.9 ],11.2,15.9,7.2,31.4,-10.0,78,,,,,,,1770.4,,,,23 ],6.7,64,15,6
16,1939,,1014.3,1043.1,148.8,26.6 ],16.3 ],11.5,16.1,7.6,34.5,-11.2,77,,,,,,,2007.6,,,,,6.6,69,21,9
17,1940,,1013.2,852.8,50.7,14.2 ],6.8 ],11.1,16.0,6.9,34.8,-9.8,76,,,,,,,2048.2,,,,8 ],6.5,78,27,12
18,1941,,1014.0,1264.8,104.6,19.1,7.8,10.9,15.8,6.8,33.6,-8.8,77,,,,,,,1817.8,,,,4 ],6.7,53,30,4
19,1942,,1013.0,909.2,68.3,29.3,9.0,11.5,16.5,7.1,33.4,-11.1,75,,,,,,,2135.0,,,,8 ],6.1,53,12,4
20,1943,,1014.7,824.9,105.7,17.3,8.4,11.1,16.1,7.1,33.6,-8.2,76,,,,,,,2181.8,,,,,6.2,67,44,11
21,1944,,1013.6,1507.6,270.4,66.0,29.1,10.6,15.2,6.8,35.4,-9.7,78,,,,,,,1949.4,,,,19 ],6.9,83,39,14
22,1945,,1013.6,1589.1,109.1,57.2,18.3,9.9,14.5,6.2,31.9,-11.7,79,,,,,,,1814.0,,,,,6.9,84,58,6
23,1946,,1014.3,909.2,61.8,19.6,6.2,11.6,16.3,7.6,32.8,-8.5,76,,,,,,,1944.8,,,,20 ],6.8,73,48,5
24,1947,,1013.9,1443.4,173.3,54.8,17.8,10.5,15.2,6.5,35.3,-9.4,77,,,,,,,1956.9,,,,30 ],6.8,84,55,9
25,1948,,1015.1,1647.6,312.7,94.3,20.6,12.1,16.9,7.9,32.4,-7.0,77,,,,,,,1867.7,,,,26 ],6.8,66,78,10
26,1949,,1013.5,1354.7,98.9,30.0,13.1,11.3,16.0,7.7,33.8,-7.3,80,,,,,,,1859.4,,,,,6.9,46,53,7
27,1950,1008.8,1013.7,1892.3,126.4,67.0,30.0,12.1,16.6,8.5,35.4,-7.9,77,,,,,,,1937.6,,,,,6.6,63,44,12
28,1951,1009.3,1014.1,1032.2,44.6,15.1,7.7,11.5,16.3,7.6,35.4,-8.8,75,,2.9,,,,,1987.4,,,,21 ],6.9,67,33,4
29,1952,1009.7,1014.5,1098.4,56.8,37.9,21.0,11.2,16.0,7.3,33.8,-7.0,76,,2.6,,,,,1945.8,,,,25 ],6.9,73,23,10
30,1953,1009.9,1014.8,1062.3,48.3,18.5,9.0,11.3,15.7,7.6,34.0,-6.6,75,,2.7,,,,,1871.7,,32 ],,,6.8,70,37,7
31,1954,1010.1,1014.9,1240.4,105.2,15.6,7.1,11.7,16.1,8.0,33.8,-7.8,75,,2.9,,,,,1765.7,,96,,28 ],6.9,52,21,5
32,1955,1008.9,1013.7,1307.1,74.5,49.2,19.0,12.3,16.7,8.5,34.9,-7.2,74,,2.8,,,,,1977.1,,47,,,6.6,70,27,12
33,1956,1008.9,1013.7,1458.0,85.5,28.1,15.0,11.3,15.6,7.8,32.9,-8.0,75,,2.8,,,,,1913.6,,133,,27 ],6.6,65,38,8
