,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1940,,1013.0,1471.0,167.2,31.1,12.1,15.4,20.6,11.0,35.5,-6.2,71,,,,,,,2362.5,,,,2 ],,4 ],1,17
4,1941,,1013.2,3731.2,255.5,75.5,20.1,15.8,20.7,11.6,34.8,-4.8,75,,,,,,,2100.1,,,,,,3,3,8
5,1942,,1013.0,1848.4,110.9,40.5,13.3,15.7,20.9,11.1,38.5,-5.6,72,,,,,,,2489.6,,,,,,3,5,24
6,1943,,1013.9,1962.1,243.0,41.8,13.6,15.2,20.6,10.6,33.6,-6.1,72,,,,,,,2553.6,,,,,,3,7,15
7,1944,,1013.1,2157.7,190.4,31.4,11.8,14.9,20.1,10.8,37.2,-5.6,73,,,,,,,2423.4,,,,1 ],,2,8,15
8,1945,,1013.1,3106.3,216.8,72.0,20.7,14.6,19.8,10.5,32.8,-6.8,73,,,,,,,2459.4,,,,10 ],,8,6,12
9,1946,,1013.8,1888.1,178.2,47.5,15.5,15.8,21.1,11.7,34.8,-6.4,73,,,,,,,2437.4,,,,,,4,2,10
10,1947,,1013.5,1761.5,163.1,34.5,13.5,14.8,20.2,10.6,35.9,-5.8,72,,,,,,,2589.0,,,,1 ],,5,4,7
11,1948,,1014.5,2284.0,233.7,38.6,14.3,16.0,21.0,12.0,35.1,-4.9,76,,,,,,,2310.4,,,,,,5,6,14
12,1949,,1013.3,2444.8,158.7,43.2,13.4,15.2,20.2,11.1,33.4,-4.2,75,,,,,,,2406.4,,,,,,2,10,8
13,1950,,1013.1,2819.9,163.0,65.0,20.7,15.9,20.7,11.6,33.5,-4.6,75,,,,,,,1878.1,,,,0 ],,3,1,8
14,1951,1012.0,1013.8,2644.3,153.1,74.8,21.8,15.5,20.7,11.3,33.7,-5.5,74,,2.9,,,,,1915.9,,,,,6.1,1,3,15
15,1952,1012.0,1013.8,2442.8,157.3,57.6,19.4,15.7,20.5,11.8,36.3,-5.2,75,,2.9,,,,,1801.9,,,,,6.3,3,9,12
16,1953,1012.5,1014.3,2757.6,126.3,57.7,15.3,15.7,20.6,11.5,35.5,-5.3,72,,3.0,,,,,1788.6,,×,,,6.3,2,10,16
17,1954,1012.4,1014.1,2859.4,222.7,51.2,14.7,15.8,20.5,12.0,33.7,-3.8,73,,2.9,,,,,1769.6,,0,,,6.5,2,4,15
18,1955,1011.7,1013.5,2210.0,121.0,31.2,17.2,16.2,21.2,12.3,35.0,-5.3,72,,2.7,,,,,2149.0,,0,,,6.0,4,10,14
19,1956,1011.4,1013.1,2610.8,139.2,49.4,19.9,15.6,20.4,11.9,35.5,-4.2,71,,2.9,,,,,1947.7,,0,,,6.3,6,16,14
20,1957,1011.5,1013.3,2435.1,123.7,51.8,26.0,15.6,20.4,11.6,33.5,-4.7,72,,3.0,,,,,1835.3,,0,,,6.4,2,16,7
21,1958,1011.8,1013.6,2105.5,177.2,45.5,10.3,16.1,20.7,12.0,35.4,-4.5,72,,3.2,,,,,1960.0,,0,,,6.3,2,15,10
22,1959,1011.6,1013.4,2808.7,188.1,69.2,15.3,16.5,21.2,12.5,35.2,-5.0,73,,3.1,,,,,1898.8,,0,,,6.4,0,6,18
23,1960,1011.7,1013.4,2030.1,193.7,67.9,18.7,16.3,21.0,12.2,34.7,-6.8,69,,3.1,,,,,2040.2,,--,,,5.9,0,20,18
24,1961,1011.6,1013.4,2353.3,201.6,37.5,11.4,16.6,21.3,12.3,34.6,-4.9,69,14,3.0,22.5,南南西,,,2288.4,,0,0 ],×,5.9,2,5,22
25,1962,1011.2,1013.0,2486.7,135.9,55.4,19.0,15.9,20.6,11.6,37.7,-4.7,69,15,2.8,14.7,南南西,,,2273.0,,0,0,--,5.9,2,12,18
26,1963,1011.4,1013.1,2000.8,172.3,32.1,10.6,15.5,20.2,11.6,37.7,-6.1,70,16,2.8,15.7,南西,,,2110.5,,0,0,--,6.0,7,16,18
27,1964,1012.9,1014.7,1843.1,208.9,94.7,23.0,16.1,20.6,12.2,34.4,-4.2,72,12,2.6,19.0,南南西,,,2003.1,,0,0,--,6.8,2,19,16
28,1965,1010.8,1012.5,2004.9,140.8,37.5,14.8,15.5,20.3,10.9,37.9,-5.0,67,9,2.8,19.0,南南東,,,2397.7,,0,0,--,5.8,3,8,10
29,1966,1010.9,1012.7,2439.8,218.4,66.1,20.6,16.0,20.6,11.6,35.8,-5.1,69,11,2.8,20.8,東北東,,,2239.7,,0,0,--,6.4,5,12,15
30,1967,1011.6,1013.4,2086.9,143.5,40.5,20.3,16.0,20.5,11.7,36.4,-6.6,69,10,2.7,14.2,南南西,24.7,,2218.3,,3,3,3,6.5,2,9,27
