,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1875,,,1219.2 ],94.0 ],,,17.0 ],21.9 ],12.2 ],35.1 ],-3.6 ],,,,,,,,,,,,,,,,
4,1876,,1014.7,1755.5,76.2,,,13.6,18.7,8.3,35.6,-9.2,78,,,,,,,,,,,,,,,
5,1877,,1015.2,1317.3,79.9,,,14.2,19.1,8.9,34.9,-4.8,77,,,,,,,,,,,,,,,
6,1878,,1015.2,1764.2,150.9,,,13.8,18.3,9.6,35.1,-7.6,79,,,,,,,,,,,,,,,
7,1879,,1014.5,1492.7,99.8,,,14.6,19.4,10.0,33.9,-5.5,77,,,,,,,,,,,,,,,
8,1880,,1015.0,1685.7,116.7,,,14.1,19.2,9.1,33.2,-6.8,76,,,,,,,,,,,,,,,
9,1881,,1015.1,1444.4,86.4,,,13.8,18.8,8.5,34.2,-8.4,78,,,,,,,,,,,,,,,
10,1882,,1015.2,1478.3,109.7,,,14.0,18.6,9.0,34.2,-6.3,77,,,,,,,,,,,,,,,
11,1883,,1015.0,1552.6,125.6,,,13.3,17.8,9.1,32.8,-7.8,76,,,,,,,,,,,46 ],,,,
12,1884,,1014.9,1314.8,72.2,,,12.9,17.7,8.6,33.3,-7.7,76,,,,,,,,,,,,,,,
13,1885,,1014.9,1531.7,149.5,,,13.1,17.5,9.1,31.8,-9.1,77,,,,,,,,,,,,,,,
14,1886,,1014.5,1290.3,64.5,12.8 ],,13.9,18.7,9.9,36.6,-7.7,75,,,,,,,,,,,,,,,
15,1887,,1013.6,1250.0,77.8,20.5 ],,13.8,18.6,9.7,32.6,-7.9,76,,,,,,,,,,,31 ],,,,
16,1888,,1013.7,1378.5,78.9,19.2 ],,13.5,18.5,9.3,32.8,-7.5,75,,,,,,,,,,,,,,,
17,1889,,1014.0,1319.3,162.0,22.0 ],,13.3,18.0,9.3,33.3,-8.1,74,,,,,,,,,,,,,,,
18,1890,,1013.8,1958.2,123.8,×,,15.0,19.4,11.0,33.9,-5.8,77,,,,,,,1538.9 ],,,,,,,,
19,1891,,1014.1,1220.8,109.0,23.2 ],,14.4,19.3,10.0,34.4,-6.7,72,,,,,,,2198.0,,,,,,,,
20,1892,,1013.7,1715.1,84.5,20.5 ],,14.0,18.6,10.0,34.4,-6.8,73,,,,,,,1982.1,,,,25 ],,,,
21,1893,,1014.0,1161.3,56.3,28.1 ],,13.8,18.8,9.4,34.4,-7.2,71,,,,,,,2296.1,,,,,,,,
22,1894,,1014.4,1320.8,132.8,52.9 ],,14.8,19.6,10.6,35.1,-5.3,73,,,,,,,2335.8,,,,,,,,
23,1895,,1013.8,1397.8,133.0,22.6 ],,13.8,18.7,9.8,33.0,-5.7,74,,,,,,,2269.0,,,,,,,,
24,1896,,1014.4,1373.9,74.0,22.2 ],,14.0,18.7,10.1,34.3,-5.6,74,,,,,,,2213.8,,,,,,,,
25,1897,,1014.6,1497.2,73.2,34.1 ],,13.2,17.7,9.2,34.0,-7.0,75,,,,,,,2046.4,,,,19 ],,,,
26,1898,,1014.1,1711.9,159.4,25.8 ],,14.0,18.5,10.1,34.3,-5.9,76,,,,,,,2140.7,,,,,,,,
27,1899,,1014.3,1649.1,110.1,27.5 ],,13.8,18.6,9.8,34.1,-5.9,75,,,,,,,2223.7,,,,,,,,
28,1900,,1014.6,1188.0,56.9,20.6 ],,13.6,18.4,9.6,35.1,-6.1,76,,,,,,,2182.4,,,,,,,,
29,1901,,1013.7,1588.9,80.5,25.8 ],,13.9,18.8,9.8,35.6,-7.9,75,,,,,,,2189.9,,,,,,,,
30,1902,,1014.1,1753.7,66.3,24.1 ],,13.7,18.3,9.8,32.5,-6.6,76,,,,,,,2034.4,,,,,,,,
31,1903,,1014.7,1912.2,164.8,26.9 ],,13.7,18.2,9.9,34.7,-5.8,77,,,,,,,2033.7,,,,,,,,
32,1904,,1014.3,1381.8,126.1,18.6 ],,13.7,18.3,9.9,32.5,-6.4,75,,,,,,,2194.2,,,,,,,,
33,1905,,1014.8,1330.1,106.8,28.2 ],,13.5,17.8,9.7,32.9,-5.3,76,,,,,,,1889.4,,,,,,,,
34,1906,,1013.6,1519.5,171.5,34.0 ],,13.1,17.5,9.3,32.8,-4.5,73,,,,,,,2028.9,,,,11 ],,,,
35,1907,,1014.2,1640.4,111.7,14.9 ],,13.5,17.9,9.6,31.6,-6.9,74,,,,,,,2139.7,,,,,,,,
36,1908,,1014.5,1692.1,89.2,55.7 ],,13.2,17.9,9.3,33.2,-5.1,73,,,,,,,2152.7,,,,20 ],,,,
37,1909,,1014.2,1511.7,74.1,39.0 ],,13.6,18.2,9.5,33.9,-5.9,74,,,,,,,2084.9,,,,,,,,
