,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1943,,1015.8,1749.8,69.1,30.2,15.3 ],13.9,18.3,10.2,34.4,-5.9,78,,,,,,,1828.1,,,,,7.7,44 ],4,20
4,1944,,1015.0,2069.8,89.0,31.0,12.5,13.8,18.3,10.0,35.8,-6.5,79,,,,,,,1789.5,,,,65 ],7.6,48,1,11
5,1945,,1014.9,2689.7,145.5,23.3,8.4 ],13.2,17.5,9.5,33.7,-4.8,80,,,,,,,1554.4,,,,94 ],7.7,76,5,3
6,1946,,1015.3,2005.9,76.8,35.8,12.8,14.3,18.9,10.3,34.5,-3.9,78,,,,,,,1667.3,,,,60 ],7.3,48,7,13
7,1947,,1015.7,1977.7,51.9,29.5,6.1,13.2,17.8,9.1,34.2,-6.9,77,,,,,,,1740.7,,,,129 ],7.6,66,3,15
8,1948,,1016.0,1710.8,77.1,43.2,14.4,14.6,19.2,10.6,33.9,-3.7,78,,,,,,,1837.4,,,,44 ],7.3,47,1,18
9,1949,,1014.9,2000.6,132.8,40.5,15.7,13.9,18.4,10.2,34.9,-3.3,80,,,,,,,1653.2,,,,,7.4,33,5,12
10,1950,1012.3,1014.4,2011.3,89.0,24.7,9.6,14.5,19.1,10.6,35.5,-3.8,76,,,,,,,1620.1,,,,32 ],7.1,47,3,15
11,1951,1013.2,1015.4,1739.1,119.1,22.5,12.6,14.2,18.8,10.0,35.5,-4.5,75,,3.4,,,,,1807.0,,,,3 ],7.1,46,0,19
12,1952,1013.4,1015.5,2149.3,67.7,24.6,10.2,14.1,18.4,10.2,34.1,-3.3,77,,3.2,,,,,1549.1,,,,1 ],7.5,41,4,21
13,1953,1013.6,1015.8,2689.4,124.2,49.8 ],14.5 ],14.4,18.5,10.9,35.0,-7.0,78,,3.2,,,,,1540.2,,267 ],,60 ],7.4,43,6,18
14,1954,1013.1,1015.2,2103.1,74.2,40.6,15.2,14.5,18.6,10.9,34.3,-3.2,77,,3.4,,,,,1664.8,,203,,88 ],7.4,25,7,11
15,1955,1013.0,1015.2,1646.4,47.5,17.8 ],7.8 ],14.8,19.3,10.9,35.2,-4.6,76,,3.4,,,,,1905.5,,164,,,7.1,33,2,17
16,1956,1013.1,1015.2,1999.3,104.3,15.0 ],5.2 ],14.0,18.1,10.5,36.0,-3.9,78,,3.7,,,,,1637.9,,200,,,7.4,46,5,10
17,1957,1013.2,1015.4,1931.4,82.1,25.0 ],10.6 ],14.0,18.1,10.5,33.5,-5.8,78,,3.4,,,,,1514.5,,246,,,7.4,64,3,12
18,1958,1013.4,1015.6,1911.6,63.2,30.2 ],12.5 ],14.7,18.9,11.2,34.5,-5.6,77,,3.3,,,,,1694.1,,180,,38 ],7.2,34,4,25
19,1959,1012.9,1015.0,1957.0,178.7,24.7 ],16.9 ],15.2,19.6,11.6,34.7,-4.0,78,,3.5,,,,,1868.2,,127,,,7.0,21,8,17
20,1960,1013.2,1015.3,2064.4,70.9,39.9 ],11.2 ],14.8,19.1,11.0,35.4,-5.4,77,,3.4,,,,,1834.9,,124,,,7.0,33,9,21
21,1961,1012.9,1015.1,2065.2,78.6,38.1 ],13.4 ],15.2,19.6,11.6,36.5,-6.0,75,14,3.2,29.2,北西,,,1698.8,13.4,169,17 ],23 ],7.3,44,8,26
22,1962,1012.5,1014.6,1809.9,50.2,34.2 ],15.2 ],14.4,18.8,10.7,36.2,-3.7,75,20,3.1,17.7,南,,,1734.0,14.6,195,36,51,7.2,45,2,11
23,1963,1012.5,1014.6,1976.7,68.9,21.0,9.3,14.0,18.3,10.4,34.3,-6.3,76,22,3.0,16.3,西,,,1582.7,14.7,236,30,56,7.4,65,10,21
24,1964,1014.1,1016.3,2210.0,155.7,32.0,18.0,14.8,19.0,11.0,35.9,-3.2,76,22,2.8,15.3,北北西,24.3,西,1711.8,15.7,53,9,14,7.3,36,7,18
25,1965,1012.6,1014.7,2506.3,156.8,52.5,14.0,13.7,18.2,9.5,34.8,-4.1,75,17,3.0,17.2,西北西,27.9,西北西,1786.0,16.1,125,24,33,7.0,51,0,10
26,1966,1012.2,1014.3,2291.4,127.5,34.7,10.6,14.4,18.8,10.3,35.3,-6.1,76,23,3.0,17.7,南南東,29.4,南南東,1605.5,15.8,179,26,30,7.3,37,8,20
27,1967,1013.0,1015.1,1964.4,113.7,37.4,20.0,14.4,18.8,10.3,35.3,-6.5,76,22,3.0,14.0,南南東,28.4,南南東,1866.7,17.4,303,30,36,7.1,44,3,12
28,1968,1013.0,1015.1,1791.0,102.5,53.5,17.0,14.0,18.2,10.1,34.2,-5.9,77,21,2.7,15.3,北西,28.5,北北西,1690.9,16.9,244,20,37,7.3,58,5,14
