,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,年,気圧(hPa),降水量(mm),気温(℃),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/m2),雪(寒候年・cm),雲量,大気現象,,,,,,,,,,,,,,,,,
1,現地,海面,合計,最大,平均,最高,最低,平均風速,最大風速,最大瞬間風速,降雪,最深積雪,平均,雪日数(寒候年),霧日数,雷日数,,,,,,,,,,,,
2,平均,平均,日,1時間,10分間,日平均,日最高,日最低,平均,最小,風速,風向,風速,風向,平均,合計,日合計の最大,,,,,,,,,,,
3,1879,,1013.8 ],503.6 ],142.0 ],,,19.1 ],23.8 ],14.8 ],36.4 ],-1.1 ],73 ],,,,,,,,,,,,,,,
4,1880,,1015.2,921.6,50.8,,,15.4,19.8,11.0,34.7,-3.3,73,,,,,,,,,,,,,,,
5,1881,,1015.4,1384.1,95.4,,,15.4,19.7,11.0,35.1,-4.7,73,,,,,,,,,,,,,,,
6,1882,,1015.0,1250.0,95.2,,,15.5,19.7,11.1,34.2,-3.8,73,,,,,,,,,,,,,,,
7,1883,,1014.9,1191.2,,,,15.0,19.5,11.0,36.6,-5.4,73,,,,,,,,,,,40 ],,,,
8,1884,,1015.1,1362.0,81.2 ],,,14.3,18.6,10.2,33.6,-4.0,73,,,,,,,,,,,,,,,
9,1885,,1014.8,1717.1,131.6,,,14.8,18.9,10.9,33.6,-4.2,75,,,,,,,,,,,,,,,
10,1886,,1015.2,1386.3,100.8,,,15.1,19.3,11.2,35.7,-3.8,74,,,,,,,,,,,,,,,
11,1887,,1014.6,1186.2,165.5,,,15.0,19.5,10.9,34.6,-2.3,71,,,,,,,,,,,,,,,
12,1888,,1014.1,1337.4,84.7,,,15.2,19.7,11.1,34.1,-3.8,73,,,,,,,,,,,,,,,
13,1889,,1014.9,1766.8,141.1,,,14.7,18.9,10.7,34.4,-3.3,74,,,,,,,814.9 ],,,,,,,,
14,1890,,1013.8,2012.9,184.2,,,16.3,20.9,12.2,34.4,-2.4,73,,,,,,,1618.2,,,,,,,,
15,1891,,1015.3,1176.6,83.0,,,15.4,20.1,11.0,33.6,-4.0,69,,,,,,,2048.3,,,,,,,,
16,1892,,1014.9,1844.3,92.7,,,15.0,19.4,11.0,35.1,-3.1,71,,,,,,,1748.8,,,,,,,,
17,1893,,1015.2,1155.3,85.6,,,14.9,19.7,10.7,36.3,-3.2,69,,,,,,,2035.3,,,,17 ],,,,
18,1894,,1015.7,948.5,46.0,,,15.9,20.7,11.6,36.2,-2.8,69,,,,,,,2078.0,,,,,,,,
19,1895,,1015.0,1365.6,109.0,,,15.3,19.9,11.1,34.8,-3.5,71,,,,,,,1868.8,,,,,,,,
20,1896,,1016.2,1971.5,151.7,,,15.2,19.4,11.1,33.6,-4.4,73,,,,,,,1765.8,,,,,,,,
21,1897,,1016.0,1732.7,168.7,,,15.2,19.5,11.0,35.8,-3.5,73,,,,,,,2082.2,,,,,,,,
22,1898,,1014.9,1279.6,105.8,,,15.7,20.1,11.5,34.8,-2.2,73,,,,,,,2172.2,,,,,,,,
23,1899,,1015.3,1833.0,178.4,,,15.3,19.7,11.1,33.6,-2.5,74,,,,,,,2226.4,,,,,,,,
24,1900,,1015.7,1504.5,85.7,,,15.1,19.6,11.0,35.3,-3.0,72,,,,,,,2278.2,,,,,,,,
25,1901,,1014.8,1615.9,127.0,,,15.1,19.6,10.8,34.8,-3.2,73,,,,,,,2096.0,,,,,,,,
26,1902,,1015.0,1659.4,149.3,,,15.3,19.8,11.0,34.6,-4.6,74,,,,,,,1947.3,,,,,,,,
27,1903,,1015.6,1979.9,189.1,,,15.4,19.8,11.2,35.5,-2.1,73,,,,,,,2011.7,,,,,,,,
28,1904,,1015.3,1618.4,115.6,,,15.3,19.7,11.1,35.7,-4.9,72,,,,,,,2153.7,,,,4 ],,,,
29,1905,,1015.3,2030.9,111.2,,,15.5,19.7,11.3,33.0,-3.2,74,,,,,,,1907.9,,,,,,,,
30,1906,,1014.4,1337.8,90.4,,,14.9,19.4,10.6,35.0,-4.5,73,,,,,,,1919.7,,,,13 ],,,,
31,1907,,1014.6,1677.1,134.0,,,14.9,19.6,10.8,33.2,-2.7,73,,,,,,,1975.6,,,,21 ],,,,
32,1908,,1015.1,1305.7,64.0,,,15.1,19.7,11.1,34.0,-2.6,73,,,,,,,2025.7,,,,,,,,
33,1909,,1015.1,1207.0,63.3,,,15.0,19.7,10.9,35.3,-2.7,73,,,,,,,1994.4,,,,,,,,
34,1910,,1014.5,1407.4,95.4,,,15.1,19.5,11.2,34.7,-2.4,72,,,,,,,1817.0,,,,,,,,
35,1911,,1015.8,1652.0,84.2,,,15.5,20.0,11.5,34.3,-2.4,72,,,,,,,1991.8,,,,,,,,
36,1912,,1015.0,1257.2,92.0,,,15.4,20.0,11.3,34.4,-2.1,72,,,,,,,1980.8,,,,,,,,
37,1913,,1014.6,1359.6,102.6,,,15.0,19.7,10.8,35.2,-3.0,70,,,,,,,2057.1,,,,,,,,
38,1914,,1015.2,1485.4,82.5,,,16.1,20.8,12.0,34.8,-2.2,74,,,,,,,2150.5,,,,,,,,
39,1915,,1014.5,1748.2,85.8,,,15.9,20.6,11.8,36.1,-2.2,74,,,,,,,2120.8,,,,7 ],,,,
