,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1898年,+0.28,-0.36,-2.46,-1.54,-1.10,-1.31,+0.15,-0.41,-1.21,-0.96,+0.16,+0.04
2,1899年,-0.59,-0.29,-0.26,-0.45,+0.10,+0.16,-0.62,-1.33,-1.85,-2.43,-2.07,-0.10
3,1900年,-2.12,-1.89,-1.86,-0.89,-0.52,-1.43,-1.74,-0.16,-0.26,-0.66,-0.33,-0.91
4,1901年,+0.64,-2.01,-1.34,-0.06,-1.27,-1.08,-1.89,-0.80,-1.11,-0.24,-1.26,-1.88
5,1902年,-1.53,-1.60,+0.20,-1.47,-1.32,-1.70,-2.38,-2.53,-0.78,-0.94,+0.43,+1.27
6,1903年,+1.07,-0.19,+0.92,+0.33,-1.82,-1.54,-1.89,-1.08,+0.05,-1.17,-1.65,-2.21
7,1904年,-1.93,-0.02,-0.98,-0.03,-1.24,+0.29,-0.14,-0.61,-1.62,-1.10,-2.32,-0.57
8,1905年,+1.08,-2.21,-1.36,-2.24,-0.74,-0.66,-0.63,-2.86,-0.92,-0.67,-0.97,+0.79
9,1906年,-1.70,-1.67,-1.12,-1.15,-1.02,-1.74,-0.79,-1.21,-1.51,-1.14,-2.10,-0.73
10,1907年,-0.04,-2.03,-1.46,-0.94,-1.13,-1.81,-1.66,-0.39,-1.31,-1.29,-0.47,-2.04
11,1908年,-1.04,-1.81,-1.54,-0.89,-1.82,-1.11,-2.04,-0.73,-2.14,-0.96,-2.37,-0.85
12,1909年,-1.48,-1.91,-1.92,-0.30,-1.44,-0.60,-0.43,-0.68,-0.36,-1.94,-0.85,-1.66
13,1910年,+0.59,-1.97,-2.02,-1.26,-1.07,-0.18,-0.99,-1.69,-1.46,-0.88,-1.23,-2.48
14,1911年,-1.22,-0.34,-0.20,-0.92,-0.91,-0.32,-0.73,-1.45,-0.09,-1.42,+0.35,-1.16
15,1912年,-0.96,+1.10,-0.30,-0.64,-1.46,-1.18,-1.18,-1.08,-2.09,-1.74,-2.41,-1.45
16,1913年,-1.88,-1.11,-2.20,+0.22,-1.86,-1.36,-2.07,-2.23,-2.55,-1.51,-1.35,-1.18
17,1914年,+0.36,-0.41,+1.03,-1.70,0.00,-0.20,+0.39,-0.56,-0.25,-1.14,+0.56,-0.52
18,1915年,-0.93,-0.19,-1.80,-1.22,-2.37,+0.32,-0.72,-0.65,+0.09,+0.72,+0.13,-0.06
19,1916年,+1.04,-0.17,-2.33,-0.90,-1.02,+1.36,-0.11,-0.17,+0.42,-0.31,+0.39,+0.12
20,1917年,-1.82,-1.55,-1.72,-1.20,-2.10,-1.19,-0.02,-1.17,-0.22,-0.12,-2.69,-1.99
21,1918年,-2.38,-1.15,-1.18,-1.28,-1.40,-0.70,-0.03,-0.81,-0.76,-0.68,-1.14,-1.59
22,1919年,-1.22,-0.79,+0.02,-0.79,-1.18,-0.70,-0.57,-1.29,-0.75,-0.62,-0.08,-0.92
23,1920年,+0.11,-1.31,-0.51,-0.78,-1.52,-0.30,+0.75,-0.51,-0.66,-0.84,+0.41,-0.94
24,1921年,-0.24,-1.02,-1.88,+0.04,-1.26,-1.98,-0.43,-0.41,-0.98,-1.22,-2.42,-1.17
25,1922年,-3.08,+1.31,-1.45,-0.32,-1.05,0.00,-0.05,+0.52,+0.19,-0.34,-0.88,-1.75
26,1923年,-2.10,-1.50,+0.03,-1.09,-0.58,-1.24,-1.12,+0.35,-0.07,-0.80,-0.37,-0.68
